Call Number,Call 1,Call 2,Call 3,Call 4
1,0.06570005416870117,0.14869904518127441,0.06452012062072754,0.06618404388427734
2,0.059858083724975586,0.05963706970214844,0.061858177185058594,0.08896899223327637
3,0.15206289291381836,0.06447005271911621,0.06403923034667969,0.060415029525756836
4,0.059454917907714844,0.06590485572814941,0.06436800956726074,0.1464531421661377
5,0.060343027114868164,0.059797048568725586,0.06156110763549805,0.06407022476196289
6,0.060862064361572266,0.0614171028137207,0.12919211387634277,0.06422281265258789
7,0.06186318397521973,0.06331276893615723,0.05701184272766113,0.06340479850769043
8,0.059571266174316406,0.1510450839996338,0.06429696083068848,0.06387090682983398
9,0.062391042709350586,0.0592648983001709,0.06199502944946289,0.055411338806152344
10,0.13181495666503906,0.06542015075683594,0.06837677955627441,0.06315326690673828
11,0.06231999397277832,0.059877872467041016,0.06848788261413574,0.13708114624023438
12,0.05973696708679199,0.061363935470581055,0.06678605079650879,0.06106114387512207
13,0.06494379043579102,0.06274628639221191,0.14841103553771973,0.06250214576721191
14,0.06313967704772949,0.06641793251037598,0.06299495697021484,0.06061601638793945
15,0.061834096908569336,0.14624714851379395,0.06548810005187988,0.06147909164428711
16,0.06654691696166992,0.0630500316619873,0.06416916847229004,0.06326508522033691
17,0.13952898979187012,0.0618131160736084,0.06289815902709961,0.06358098983764648
18,0.06325387954711914,0.06209588050842285,0.06530976295471191,0.14240312576293945
19,0.061953067779541016,0.06328988075256348,0.06273794174194336,0.06241583824157715
20,0.06171989440917969,0.05903005599975586,0.06138300895690918,0.12796401977539062
21,0.0617218017578125,0.06310510635375977,0.06181001663208008,0.06200599670410156
22,0.06417083740234375,0.05866289138793945,0.15182709693908691,0.062496185302734375
23,0.06257891654968262,0.06293511390686035,0.06296682357788086,0.06406807899475098
24,0.06966114044189453,0.14294123649597168,0.06503486633300781,0.0629420280456543
25,0.06301188468933105,0.06303882598876953,0.06305313110351562,0.06472587585449219
26,0.14339780807495117,0.06255102157592773,0.062957763671875,0.06333494186401367
27,0.06191277503967285,0.06587386131286621,0.07083296775817871,0.14190292358398438
28,0.06416487693786621,0.060997962951660156,0.06566405296325684,0.06267905235290527
29,0.07680487632751465,0.06292724609375,0.15301012992858887,0.06776881217956543
30,0.06044173240661621,0.0629429817199707,0.0631709098815918,0.0632929801940918
31,0.15237975120544434,0.06139016151428223,0.05959510803222656,0.06374192237854004
32,0.06002998352050781,0.06166195869445801,0.06029796600341797,0.06599092483520508
33,0.1481919288635254,0.06406211853027344,0.06448698043823242,0.06285977363586426
34,0.059287071228027344,0.06587815284729004,0.15062618255615234,0.060819149017333984
35,0.06298685073852539,0.06429886817932129,0.06351208686828613,0.06357884407043457
36,0.06377816200256348,0.14768695831298828,0.061675071716308594,0.08723020553588867
37,0.06188392639160156,0.0615849494934082,0.06256294250488281,0.0632009506225586
38,0.15437602996826172,0.1335148811340332,0.0674130916595459,0.06176567077636719
39,0.06368589401245117,0.06301999092102051,0.13678312301635742,0.06653094291687012
40,0.06255412101745605,0.06451821327209473,0.0645599365234375,0.06081199645996094
41,0.060144901275634766,0.14745092391967773,0.06173586845397949,0.060749053955078125
42,0.06275510787963867,0.0599980354309082,0.06213521957397461,0.06566190719604492
43,0.15109896659851074,0.06671905517578125,0.0872802734375,0.06191897392272949
44,0.05865287780761719,0.06205892562866211,0.15590906143188477,0.07419872283935547
45,0.059575796127319336,0.06002378463745117,0.062072038650512695,0.0635530948638916
46,0.06169700622558594,0.1428852081298828,0.06473779678344727,0.06620311737060547
47,0.06636905670166016,0.06617403030395508,0.061200857162475586,0.06321883201599121
48,0.13673090934753418,0.059906005859375,0.0600738525390625,0.06360602378845215
49,0.06408119201660156,0.06274819374084473,0.06073331832885742,0.05783224105834961
50,0.15339064598083496,0.06126809120178223,0.06152606010437012,0.06507396697998047
51,0.06744599342346191,0.06256604194641113,0.1500682830810547,0.060540199279785156
52,0.0788419246673584,0.07271766662597656,0.060511112213134766,0.06191897392272949
53,0.06123805046081543,0.127946138381958,0.06106209754943848,0.06131625175476074
54,0.061776161193847656,0.06214022636413574,0.0623779296875,0.06116199493408203
55,0.0622859001159668,0.06153583526611328,0.14598560333251953,0.06310415267944336
56,0.059599876403808594,0.05965685844421387,0.0627739429473877,0.06286835670471191
57,0.060292959213256836,0.13474202156066895,0.06185007095336914,0.06275606155395508
58,0.0631248950958252,0.06924629211425781,0.0613560676574707,0.06286191940307617
59,0.14146900177001953,0.06227588653564453,0.059680938720703125,0.06176114082336426
60,0.0633389949798584,0.06526732444763184,0.06275391578674316,0.1535801887512207
61,0.06357407569885254,0.0626211166381836,0.06063079833984375,0.06444811820983887
62,0.06261706352233887,0.06068015098571777,0.14565730094909668,0.06553006172180176
63,0.06330394744873047,0.060549259185791016,0.06055402755737305,0.06000995635986328
64,0.06093788146972656,0.1489090919494629,0.06115579605102539,0.06317687034606934
65,0.058999061584472656,0.06253409385681152,0.06163501739501953,0.06056499481201172
66,0.13308000564575195,0.06769204139709473,0.05995631217956543,0.06472897529602051
67,0.06389617919921875,0.06282615661621094,0.06269097328186035,0.14107298851013184
68,0.06455397605895996,0.0617678165435791,0.06281781196594238,0.06270122528076172
69,0.0628049373626709,0.0596461296081543,0.1475231647491455,0.0594329833984375
70,0.06339502334594727,0.06586098670959473,0.06663894653320312,0.06352996826171875
71,0.06113314628601074,0.14747285842895508,0.0628509521484375,0.0648188591003418
72,0.06167912483215332,0.06157183647155762,0.06357073783874512,0.062052249908447266
73,0.14722824096679688,0.0638570785522461,0.05893588066101074,0.05923628807067871
74,0.06293106079101562,0.06187009811401367,0.06424999237060547,0.06144213676452637
75,0.1405487060546875,0.06220078468322754,0.06089591979980469,0.06194901466369629
76,0.06150078773498535,0.05732107162475586,0.06100296974182129,0.13750696182250977
77,0.06401824951171875,0.05979299545288086,0.06030702590942383,0.0646829605102539
78,0.06201910972595215,0.06786799430847168,0.15120315551757812,0.06486892700195312
79,0.062277793884277344,0.06353902816772461,0.06171870231628418,0.06115412712097168
80,0.060797929763793945,0.14360594749450684,0.06252717971801758,0.06074714660644531
81,0.06211709976196289,0.0631718635559082,0.06270003318786621,0.0602879524230957
82,0.1545717716217041,0.060656070709228516,0.06341886520385742,0.06134295463562012
83,0.06188511848449707,0.06305408477783203,0.06476593017578125,0.14293289184570312
84,0.061508893966674805,0.06407880783081055,0.06175589561462402,0.05993294715881348
85,0.0604701042175293,0.05987906455993652,0.13279104232788086,0.06347298622131348
86,0.06115603446960449,0.05973410606384277,0.06158709526062012,0.06336688995361328
87,0.06077003479003906,0.05898308753967285,0.14523792266845703,0.063385009765625
88,0.061491966247558594,0.062310218811035156,0.0628049373626709,0.06395292282104492
89,0.06302690505981445,0.14896178245544434,0.06273293495178223,0.06111001968383789
90,0.061988115310668945,0.1131901741027832,0.06050992012023926,0.14112281799316406
91,0.06218075752258301,0.06200718879699707,0.06570792198181152,0.0627741813659668
92,0.2689809799194336,0.06319904327392578,0.06271791458129883,0.06318831443786621
93,0.06166887283325195,0.07212376594543457,0.06020617485046387,0.14261198043823242
94,0.05847620964050293,0.06225085258483887,0.0619966983795166,0.06152701377868652
95,0.06046319007873535,0.059625864028930664,0.13467192649841309,0.0627293586730957
96,0.06172013282775879,0.06078600883483887,0.0618901252746582,0.0643160343170166
97,0.05902600288391113,0.14974403381347656,0.06541299819946289,0.0619199275970459
98,0.06467604637145996,0.06200671195983887,0.0636591911315918,0.06489992141723633
99,0.1431441307067871,0.06449294090270996,0.06463623046875,0.062207937240600586
100,0.061920166015625,0.06280398368835449,0.06068778038024902,0.14756393432617188
